cadastralNumber,address,dateEvent,datePublic,meetsDesignation,objectType,result,notAllowed
77:10:0006007:3727,"г. Москва, г Зеленоград, пр-кт Георгиевский, д 37, корп 2",20.01.2022,03.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0006007:3006,"г. Москва, г Зеленоград, муниципальный округ Крюково вн.тер.г., пр-кт Георгиевский, д. 37, к. 1, помещ. 6/1",20.01.2022,03.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0006007:3011,"г. Москва, г Зеленоград, муниципальный округ Крюково вн.тер.г., пр-кт Георгиевский, д. 37, к. 1, помещ. 11/1",20.01.2022,03.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0006007:3014,"г. Москва, г Зеленоград, муниципальный округ Крюково вн.тер.г., пр-кт Георгиевский, д. 37, к. 1, помещ. 14/1",20.01.2022,03.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0002005:7794,"г. Москва, г Зеленоград, аллея Солнечная, корп 934, пом 6Н, (Российская Федерация)",11.01.2022,03.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0006007:3001,"г. Москва, г Зеленоград, муниципальный округ Крюково вн.тер.г., пр-кт Георгиевский, д. 37, к. 1, помещ. 1/1",20.01.2022,03.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0000000:3504,"г. Москва, г Зеленоград, корп 834А, (подвал, помещение I - комнаты 1, 1б, 2, 3, 3а, с 4 по 6, 8, 9; помещение V - комнаты 1, 1а, 1б, с 2 по 7, 7а, 8, 9, 9б, 9в, 10, с 13 по 15, 23, 23а, 23б, 23в, 24)",11.01.2022,03.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0000000:2544,"г. Москва, г Зеленоград, корп 1824, пом XIX, подвал, помещение XIX - комнаты с 1 по 6, 6а, 6б, 7, 7а",11.01.2022,03.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0000000:2694,"г. Москва, г Зеленоград, корп 1462, пом XXVIII",19.01.2022,03.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0000000:2563,"г. Москва, г Зеленоград, корп 2003, пом VI, (этаж 1, помещение VI - комнаты с 1 по 6)",19.01.2022,03.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0000000:2566,"г. Москва, г Зеленоград, аллея Березовая, корп 2003",19.01.2022,03.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0000000:2568,"г. Москва, г. Зеленоград, корп. 2003",19.01.2022,03.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0002002:1007,"г. Москва, Зеленоград, р-н Матушкино, корп 426а, строен 1",20.01.2022,03.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
