cadastralNumber,address,dateEvent,datePublic,meetsDesignation,objectType,result,notAllowed
77:01:0005010:7239,"Центральный административный округ, муниципальный округ Хамовники, Усачева ул., Дом 13",10.02.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0005010:7238,"Центральный административный округ, муниципальный округ Хамовники, Усачева ул., Дом 13",10.02.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0005010:7237,"Центральный административный округ, муниципальный округ Хамовники, Усачева ул., Дом 13",10.02.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0005010:7236,"Центральный административный округ, муниципальный округ Хамовники, Усачева ул., Дом 13",10.02.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0005010:7235,"Центральный административный округ, муниципальный округ Хамовники, Усачева ул., Дом 13",10.02.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0004031:2680,"г. Москва, ул Рочдельская, д 12, строен 1",10.02.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",⛔️
77:01:0004031:2679,"г. Москва, ул Рочдельская, д 12, строен 1",10.02.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",⛔️
77:01:0004046:7904,"г. Москва, проезд Шмитовский, д 39, корп 3",10.02.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0004046:5836,"г. Москва, проезд Шмитовский, д 39, корп 2",10.02.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0001097:1665,"г. Москва, б-р Страстной, д 4, строение 3, пом III, этаж 2, помещение III - комнаты с 1 по 6, 6а, с 7 по 9",02.02.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",⛔️
77:01:0002009:1021,"г. Москва, пер Толмаевский Б., д 5, строен 8",11.02.2022,14.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0004008:1082,"г. Москва, р-н Тверской, пер Порядковый, д 21",02.02.2022,14.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
77:01:0004033:1023,"г. Москва, р-н Пресненский, ул Рочдельская, д 15, строен 16а",10.02.2022,14.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0004033:1012,"г. Москва, р-н Пресненский, ул Рочдельская, д 15, строен 21",10.02.2022,14.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0004033:1010,"г. Москва, р-н Пресненский, ул Рочдельская, д 15, строен 10",10.02.2022,14.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
77:01:0002009:1019,"г. Москва, пер Толмаевский Б., д 5, строен 5",11.02.2022,14.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0006024:1020,"г. Москва, р-н Таганский, ул Марксистская, д 3, строен 2",08.02.2022,14.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0004001:1031,"г. Москва, г Зеленоград, р-н Матушкино, корп 124, строен 1",20.01.2022,14.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0004001:1103,"г. Москва, Южное Тушино, ул Василия Петушкова, д 3, строен 17",04.02.2022,14.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0010012:1063,"г. Москва, р-н Хорошево-Мневники, ул Мнёвники, д 25",04.02.2022,14.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0004001:1070,"г. Москва, Южное Тушино, ул Василия Петушкова, д 3, строен 7",04.02.2022,14.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0001019:1095,"г. Москва, р-н Головинский, ш Ленинградское, д 84",09.02.2022,14.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0004001:1069,"г. Москва, р-н Южное Тушино, ул Василия Петушкова, д 3, строен 6",04.02.2022,14.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0005015:1140,"г. Москва, р-н Беговой, пр-кт Ленинградский, д 23",10.02.2022,14.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0004001:1074,"г. Москва, р-н Южное Тушино, ул Василия Петушкова, д 3, строен 11",04.02.2022,14.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0004001:1071,"г. Москва, р-н Южное Тушино, ул Василия Петушкова, д 3, строен 8",04.02.2022,14.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0004001:1073,"г. Москва, Южное Тушино, ул Василия Петушкова, д 3, строен 10",04.02.2022,14.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0001013:1080,"г. Москва, р-н Ховрино, ул Ляпидевского, д 14, строен 1",10.02.2022,14.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0004001:1068,"г. Москва, р-н Южное Тушино, ул Василия Петушкова, д 3, строен 5",04.02.2022,14.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0001010:1028,"г. Москва, р-н Ховрино, ул Беломорская, д 40, строен 2",08.02.2022,14.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0004021:5378,"г. Москва, пр-кт Ленинградский, д 57",10.02.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0005004:10126,"г. Москва, Хорошевский, пр-кт Ленинградский, д 57",10.02.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0005004:10135,"г. Москва, Хорошевский, пр-кт Ленинградский, д 57",10.02.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0005004:10138,"г. Москва, Хорошевский, пр-кт Ленинградский, д 57",10.02.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0005004:10139,"г. Москва, Хорошевский, пр-кт Ленинградский, д 57",10.02.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0005004:10125,"г. Москва, Хорошевский, пр-кт Ленинградский, д 57",10.02.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0005004:10129,"г. Москва, Хорошевский, пр-кт Ленинградский, д 57",10.02.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0002027:1097,"г. Москва, р-н Бескудниковский, б-р Бескудниковский, д 12",10.02.2022,14.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0001006:1008,"г. Москва, р-н Левобережный, проезд Валдайский, д 8, строен 2",10.02.2022,14.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
77:09:0005004:10134,"г. Москва, Хорошевский, пр-кт Ленинградский, д 57",10.02.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0004001:1072,"г. Москва, р-н Южное Тушино, ул Василия Петушкова, д 3, строен 9",04.02.2022,14.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0004001:1067,"г. Москва, р-н Южное Тушино, ул Василия Петушкова, д 3, строен 4",04.02.2022,14.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0004001:1075,"г. Москва, Южное Тушино, ул Василия Петушкова, д 3, строен 12",04.02.2022,14.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0004001:1066,"г. Москва, р-н Южное Тушино, ул Василия Петушкова, д 3, строен 3",04.02.2022,14.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0004001:1076,"г. Москва, р-н Южное Тушино, ул Василия Петушкова, д 3, строен 13",04.02.2022,14.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0001020:1041,"г. Москва, р-н Донской, ш Варшавское, д 17",08.02.2022,14.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:06:0007005:1010,"г. Москва, р-н Теплый Стан, ул Генерала Тюленева, д 41а",09.02.2022,14.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0001020:1055,"г. Москва, р-н Донской, ш Варшавское, д 21",08.02.2022,14.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:06:0007003:1062,"г. Москва, р-н Теплый Стан, ул Профсоюзная, д 152, корп 1",09.02.2022,14.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0001017:1014,"г. Москва, р-н Донской, проезд Донской 5-й, д 23",08.02.2022,14.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0001010:1067,"г. Москва, проезд Донской 5-й, д 19",08.02.2022,14.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0001020:1050,"г. Москва, ш Варшавское, д 27",10.02.2022,14.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:3775,"г. Москва, ш Каширское, д 65, корп 3, (пом. III)",31.01.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:3785,"г. Москва, ш Каширское, д 65, корп 3, (пом. XIII)",31.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:06:0007001:1028,"г. Москва, р-н Теплый Стан, пр-кт Ленинский, д 135, корп 2",09.02.2022,14.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:3779,"г. Москва, ш Каширское, д 65, корп 3, (пом. VII)",31.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:3778,"г. Москва, ш Каширское, д 65, корп 3, (пом. VI)",31.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:3776,"г. Москва, ш Каширское, д 65, корп 3, (пом. IV)",31.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:3791,"г. Москва, ш Каширское, д 65, корп 3, (пом. XX)",31.01.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:2446,"г. Москва, ш Каширское, д 65, корп 2, (пом.XX)",31.01.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",⛔️
77:05:0011008:3790,"г. Москва, ш Каширское, д 65, корп 3, (пом. XVIII)",31.01.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",⛔️
77:05:0011008:2451,"г. Москва, ш Каширское, д 65, корп 2, (пом.XXV)",31.01.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:3793,"г. Москва, ш Каширское, д 65, корп 3, (пом. XXII)",31.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:2442,"г. Москва, ш Каширское, д 65, корп 2, (пом.XVI)",31.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",⛔️
77:05:0011008:2450,"г. Москва, ш Каширское, д 65, корп 2, (пом.XXIV)",31.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:3774,"г. Москва, ш Каширское, д 65, корп 3, (пом. II)",31.01.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:3792,"г. Москва, ш Каширское, д 65, корп 3, (пом. XXI)",31.01.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",⛔️
77:05:0011008:2429,"г. Москва, ш Каширское, д 65, корп 2, (пом.III)",27.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:2441,"г. Москва, ш Каширское, д 65, корп 2, (пом.XV)",31.01.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:2427,"г. Москва, ш Каширское, д 65, корп 2, (пом.Ia)",27.01.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:2433,"г. Москва, ш Каширское, д 65, корп 2, (пом.VII)",27.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:2430,"г. Москва, ш Каширское, д 65, корп 2, (пом.IV)",27.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:3794,"г. Москва, ш Каширское, д 65, корп 3, (пом. XXIII)",31.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:2445,"г. Москва, ш Каширское, д 65, корп 2, (пом.XIX)",31.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:2435,"г. Москва, ш Каширское, д 65, корп 2, (пом.IX)",28.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:3784,"г. Москва, ш Каширское, д 65, корп 3, (пом. XII)",31.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:2426,"г. Москва, ш Каширское, д 65, корп 2, (пом. I)",27.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:2434,"г. Москва, ш Каширское, д 65, корп 2, (пом.VIII)",27.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:2444,"г. Москва, ш Каширское, д 65, корп 2, (пом.XVIII)",31.01.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:2443,"г. Москва, ш Каширское, д 65, корп 2, (пом.XVII)",31.01.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:2439,"г. Москва, ш Каширское, д 65, корп 2, (пом.XIII)",31.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:2438,"г. Москва, ш Каширское, д 65, корп 2, (пом.XII)",31.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:2436,"г. Москва, ш Каширское, д 65, корп 2, (пом.X)",31.01.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0011008:2447,"г. Москва, ш Каширское, д 65, корп 2, (пом.XXI)",31.01.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
